,Name of reporting district,State,Total students ,Total revenues,Federal revenues,State revenues,Local revenues,Current expenditures  ,Instructional-related current expenditures,"Current 
expenditures
per pupil",Total expenditures,"Total
expenditures
per pupil",Year
0,New York City School District,New York,989941,19885693,1785145,9335189,8765359,17742868,13579095,17923.157036631477,21848614,22070.622,2008.0
1,Los Angeles Unified School District,California,693680,9551053,1053853,6660389,1836811,7878168,5369564,11357.063775804405,10244106,14767.769,2008.0
2,City Of Chicago School District 299,Illinois,407510,4844616,808902,1845925,2189789,4235025,2843497,10392.444357193688,4941544,12126.191,2008.0
3,Miami-Dade County Public School District,Florida,348128,3959408,427479,1431109,2100820,3457902,2315134,9932.84653920397,4624086,13282.718,2008.0
4,Clark County School District,Nevada,309051,3111868,196022,852790,2063056,2486063,1599505,8044.183646064889,3664948,11858.716,2008.0
5,Broward County School District,Florida,258893,2874695,233523,1132545,1508627,2339595,1551639,9036.918727041673,2995075,11568.776,2008.0
6,Houston Independent School District 912,Texas,199534,2059689,267705,597926,1194058,1716764,1106808,8603.867010133612,1968836,9867.1705,2008.0
7,Hillsborough County School District,Florida,193180,2068665,247129,1034236,787300,1613384,1113859,8351.713427891085,2112627,10936.054,2008.0
8,Hawaii Public Schools,Hawaii,179897,2541703,310732,2154313,76658,2122779,1359347,11799.968871076228,2242408,12464.955,2008.0
9,Orange County School Board,Florida,174142,1974283,155268,726790,1092225,1524737,1042541,8755.710856657211,2031946,11668.328,2008.0
10,Philadelphia School District,Pennsylvania,172704,2567483,311595,1368208,887680,1623187,937052,9398.664767463406,2830437,16388.949,2008.0
11,Palm Beach County School District,Florida,170883,2183132,138401,494375,1550356,1605194,1106702,9393.526564959651,2324872,13605.051,2008.0
12,Fairfax County Schools,Virginia,165722,2313386,87266,456974,1769146,2199910,1501261,13274.70100529803,2466402,14882.768,2008.0
13,Dallas Independent School District 905,Texas,157804,1613014,216482,473768,922764,1457429,986852,9235.691110491496,1695717,10745.716,2008.0
14,Gwinnett County School District,Georgia,155618,1764516,95838,789298,879380,1489304,1022600,9570.255368916192,1889054,12139.046,2008.0
15,Montgomery County Schools,Maryland,137717,2604887,93751,564940,1946196,2066022,1433552,15001.938758468454,2480429,18011.059,2008.0
16,Wake County Schools,North Carolina,133649,1264960,68546,691684,504730,1030073,695737,7707.300466146398,1447518,10830.743,2008.0
17,San Diego City Unified School District,California,131577,1560549,144969,623080,792500,1355940,863079,10305.296518388472,1518381,11539.866,2008.0
