,Name of reporting district,State_x,Total students _x,Total revenues_x,Federal revenues_x,State revenues_x,Local revenues_x,Current expenditures  _x,Instructional-related current expenditures_x,"Current 
expenditures
per pupil_x",Total expenditures_x,"Total
expenditures
per pupil_x",Year_x,State_y,Total students _y,Total revenues_y,Federal revenues_y,State revenues_y,Local revenues_y,Current expenditures  _y,Instructional-related current expenditures_y,"Current 
expenditures
per pupil_y",Total expenditures_y,"Total
expenditures
per pupil_y",Year_y,State_x,Total students _x,Total revenues_x,Federal revenues_x,State revenues_x,Local revenues_x,Current expenditures  _x,Instructional-related current expenditures_x,"Current 
expenditures
per pupil_x",Total expenditures_x,"Total
expenditures
per pupil_x",Year_x,State_y,Total students _y,Total revenues_y,Federal revenues_y,State revenues_y,Local revenues_y,Current expenditures  _y,Instructional-related current expenditures_y,"Current 
expenditures
per pupil_y",Total expenditures_y,"Total
expenditures
per pupil_y",Year_y
0,New York City School District,New York,989941,19885693,1785145,9335189,8765359,17742868,13579095,17923.157036631477,21848614,22070.622,2008,New York,981690,21165693,1817770,10040718,9307205,18795097,14419507,19145.654,23296966,23731.49,2009, New York ,1014020,21023695,2047926,8375172,10600597,19453219,15021577,19184.25,24597709,24257.617,2010, New York ,995336,22651559,3120314,8594973,10936272,19677991,15165440,19770.19,23884430,23996.349,2011
1,Los Angeles Unified School District,California,693680,9551053,1053853,6660389,1836811,7878168,5369564,11357.063775804405,10244106,14767.769,2008,California,687534,9695990,1427027,6407786,1861177,7636872,5053027,11107.628,10541504,15332.338,2009, California ,670746,8436592,1354563,5164166,1917863,7302040,4811797,10886.44,9735797,14514.879,2010, California ,667273,9445475,1535645,5761507,2148323,7217255,4906009,10816.04,9337246,13993.142,2011
2,City Of Chicago School District 299,Illinois,407510,4844616,808902,1845925,2189789,4235025,2843497,10392.444357193688,4941544,12126.191,2008,Illinois,421430,5028161,1182403,1512820,2332938,4602119,3061901,10920.245,5543642,13154.36,2009, Illinois ,407157,5103557,1220298,1590857,2292402,4721359,3247427,11595.91,5363330,13172.634,2010, Illinois ,405644,5661444,1118967,2032469,2510008,4839711,3271308,11930.93,5723310,14109.194,2011
3,Miami-Dade County Public School District,Florida,348128,3959408,427479,1431109,2100820,3457902,2315134,9932.84653920397,4624086,13282.718,2008,Florida,345525,3531152,455555,982432,2093165,3144292,2107368,9100.042,3993706,11558.371,2009, Florida ,345804,3442717,625948,896711,1920058,3118117,2121042,9017.006,3668809,10609.504,2010, Florida ,347366,3458517,663341,1069929,1725247,3146728,2171776,9058.825,3611956,10398.128,2011
4,Clark County School District,Nevada,309051,3111868,196022,852790,2063056,2486063,1599505,8044.183646064889,3664948,11858.716,2008,Nevada,312761,3179037,286412,869809,2022816,2539486,1651498,8119.5737,3290531,10520.912,2009, Nevada ,307059,3037823,245314,872480,1920029,2536794,1648002,8261.584,3053058,9942.9035,2010, Nevada ,314059,2927746,311131,882243,1734372,2597220,1692261,8269.847,3022858,9625.1278,2011
5,Broward County School District,Florida,258893,2874695,233523,1132545,1508627,2339595,1551639,9036.918727041673,2995075,11568.776,2008,Florida,256351,2513314,252590,838721,1422003,2365072,1583872,9225.9129,3031600,11825.973,2009, Florida ,256137,2547733,414654,776219,1356860,2379582,1616834,9290.27,2811734,10977.461,2010, Florida ,256472,2477771,439868,889729,1148174,2299780,1541727,8966.982,2599247,10134.623,2011
6,Houston Independent School District 912,Texas,199534,2059689,267705,597926,1194058,1716764,1106808,8603.867010133612,1968836,9867.1705,2008,Texas,200225,2098480,288212,509180,1301088,1835460,1196723,9166.9871,2081971,10398.157,2009, Texas ,202773,2165693,428684,447491,1289518,1855709,1221822,9151.657,2174637,10724.49,2010, Texas ,204245,2221585,408408,532511,1280666,1834882,1208914,8983.73,2296500,11243.849,2011
7,Hillsborough County School District,Florida,193180,2068665,247129,1034236,787300,1613384,1113859,8351.713427891085,2112627,10936.054,2008,Florida,192007,1905911,269224,853212,783475,1645308,1144715,8569.0001,2094834,10910.196,2009, Florida ,193265,1885758,375324,809690,700744,1640285,1133404,8487.232,1962835,10156.185,2010, Florida ,194525,1947934,424200,885131,638603,1704214,1184594,8760.899,1971743,10136.193,2011
8,Philadelphia School District,Pennsylvania,172704,2567483,311595,1368208,887680,1623187,937052,9398.664767463406,2830437,16388.949,2008,Pennsylvania,159867,2671065,326710,1479741,864614,1731025,1022615,10827.907,2762022,17276.999,2009, Pennsylvania ,165694,2831427,556585,1415203,859639,1891664,1152160,11416.61,2950542,17807.175,2010, Pennsylvania ,166233,2896799,636770,1411582,848447,1934404,1182795,11636.7,3142979,18907.07,2011
9,Palm Beach County School District,Florida,170883,2183132,138401,494375,1550356,1605194,1106702,9393.526564959651,2324872,13605.051,2008,Florida,170757,1944936,159995,330892,1454049,1587281,1112269,9295.5545,2123119,12433.569,2009, Florida ,172897,1924004,253911,282276,1387817,1594952,1096426,9224.867,1951842,11289.045,2010, Florida ,174663,1922511,296851,351371,1274289,1618132,1115853,9264.308,1841875,10545.307,2011
10,Dallas Independent School District 905,Texas,157804,1613014,216482,473768,922764,1457429,986852,9235.691110491496,1695717,10745.716,2008,Texas,157352,1615590,229315,440876,945399,1451629,967797,9225.361,1619132,10289.872,2009, Texas ,157111,1768234,336955,420867,1010412,1425497,948319,9073.183,1691036,10763.32,2010, Texas ,157162,1736994,353634,448983,934377,1502681,974596,9561.35,2041088,12987.16,2011
11,Gwinnett County School District,Georgia,155618,1764516,95838,789298,879380,1489304,1022600,9570.255368916192,1889054,12139.046,2008,Georgia,157219,1666446,111335,695935,859176,1492483,1010014,9493.0193,1878490,11948.238,2009, Georgia ,159296,1623148,200541,597195,825412,1477999,985099,9278.318,1711261,10742.649,2010, Georgia ,160744,1663059,165617,722027,775415,1483050,964518,9226.16,1622360,10092.818,2011
12,Wake County Schools,North Carolina,133649,1264960,68546,691684,504730,1030073,695737,7707.300466146398,1447518,10830.743,2008,North Carolina,138443,1945241,77473,728334,1139434,1136475,776622,8208.9741,1596629,11532.754,2009, North Carolina ,140558,2061643,122009,664034,1275600,1086117,738957,7727.18,1371674,9758.7757,2010, North Carolina ,144173,1183308,145597,678165,359546,1112138,760867,7713.913,1336964,9273.3313,2011
13,San Diego City Unified School District,California,131577,1560549,144969,623080,792500,1355940,863079,10305.296518388472,1518381,11539.866,2008,California,132256,1511821,200987,529738,781096,1333201,855344,10080.458,1482522,11209.488,2009, California ,131417,1405078,199441,476872,728765,1270629,821468,9668.68,1496617,11388.306,2010, California ,131785,1474174,216241,554916,703017,1252587,803570,9504.776,1485390,11271.313,2011
14,Charlotte-Mecklenburg Schools,North Carolina,130979,1345133,105771,690492,548870,1062880,682134,8114.88864627154,1341285,10240.458,2008,North Carolina,135064,1699290,113623,721807,863860,1173350,783024,8687.363,1620152,11995.439,2009, North Carolina ,136969,2297008,169887,644107,1483014,1135686,756425,8291.555,1529792,11168.892,2010, North Carolina ,135954,1378746,179719,648832,550195,1094447,712880,8050.127,1329879,9781.8306,2011
15,Duval County School District,Florida,124740,1238175,106117,577864,554194,1079389,735878,8653.110469777137,1251694,10034.424,2008,Florida,122606,1148276,115263,504021,528992,1053519,710703,8592.7198,1247802,10177.332,2009, Florida ,122586,1179374,191695,455930,531749,1091816,739292,8906.53,1226024,10001.338,2010, Florida ,123997,1210443,224407,470953,515083,1114356,755873,8986.959,1247631,10061.784,2011
16,Memphis City Schools,Tennessee,115342,1119814,160100,441915,517799,1024956,679740,8886.233982417507,1148578,9958.0205,2008,Tennessee,111954,1045848,150238,447301,448309,1027568,678517,9178.484,1124229,10041.883,2009, Tennessee ,109300,1093003,183453,443364,466186,1032979,706051,9450.86,1153095,10549.817,2010, Tennessee ,111834,1170410,232924,461795,475691,1062330,714961,9499.168,1187591,10619.23,2011
17,Pinellas County School District,Florida,107892,1211026,94072,454583,662371,966587,638052,8958.838468097727,1125639,10433.016,2008,Florida,106061,1068296,100985,311547,655764,944508,622965,8905.3281,1153352,10874.421,2009, Florida ,105238,1039383,156035,274836,608512,924258,618608,8782.55,1119304,10635.93,2010, Florida ,104001,1036307,175861,310156,550290,942551,635077,9062.903,1068726,10276.113,2011
18,Cobb County School District,Georgia,107307,1157791,66790,450898,640103,1011702,732211,9428.108138332076,1150565,10722.18,2008,Georgia,106747,1107472,75246,400107,632119,1011011,722030,9471.0952,1086675,10179.911,2009, Georgia ,107245,1102180,131148,360200,610832,976293,703227,9103.389,1060534,9888.8899,2010, Georgia ,107315,1124647,107963,409898,606786,947674,678291,8830.769,1088349,10141.63,2011
19,Dekalb County School District,Georgia,100273,1245461,83281,448301,713879,1059607,715201,10567.221485345008,1167205,11640.272,2008,Georgia,99775,1168643,112405,372248,683990,1025744,690498,10280.571,1154644,11572.478,2009, Georgia ,99406,1159197,164684,344000,650513,995308,671794,10012.55,1155932,11628.393,2010, Georgia ,98115,1126337,136572,375688,614077,983958,655028,10028.61,1114201,11356.072,2011
20,Jefferson County School District,Kentucky,95871,1087693,114025,455522,518146,955482,601987,9966.3297556091,1042775,10876.855,2008,Kentucky,98774,1095123,119409,457431,518283,983345,614537,9955.5045,1063418,10766.173,2009, Kentucky ,98808,1124410,155681,439992,528737,1018896,648692,10311.87,1105167,11184.995,2010, Kentucky ,97331,1204917,201021,453116,550780,1069548,677173,10988.77,1174757,12069.711,2011
21,Polk County School District,Florida,93980,1250657,82891,611812,555954,1017453,758602,10826.271547137689,1198317,12750.766,2008,Florida,94657,915097,97511,442858,374728,815185,562793,8611.9885,972166,10270.408,2009, Florida ,94530,914627,159860,426979,327788,819576,561751,8670.009,942145,9966.6244,2010, Florida ,95178,936340,182192,450251,303897,858648,595277,9021.496,996655,10471.485,2011
22,Long Beach Unified School District,California,88186,914366,130977,660542,122847,850615,568479,9645.692059964167,921942,10454.517,2008,California,87509,906642,163484,605399,137759,801120,525089,9154.7155,872344,9968.6204,2009, California ,86283,857736,159039,553846,144851,772061,517732,8948.008,855080,9910.1793,2010, California ,84812,851802,149698,549490,152614,737821,502914,8699.488,839817,9902.1011,2011
23,Northside Independent School District 915,Texas,86260,766936,57934,318919,390083,673741,456378,7810.584280083469,960981,11140.517,2008,Texas,89000,814677,60016,321686,432975,705734,477406,7929.5955,1034522,11623.843,2009, Texas ,92335,884318,112713,311901,459704,757781,522019,8206.866,1012816,10968.928,2010, Texas ,95581,927836,110664,347503,469669,771040,534707,8066.875,979384,10246.639,2011
24,Jordan School District,Utah,85651,635282,45641,333609,256032,455306,315908,5315.828186477683,601025,7017.1393,2008,Utah,81485,631709,70568,315917,245224,492390,337679,6042.7072,667668,8193.7535,2009, Utah ,48457,359584,36521,188419,134644,283396,194117,5848.401,403465,8326.248,2010, Utah ,50048,339004,36432,174052,128520,276322,186589,5521.139,341624,6825.9271,2011
25,Austin Independent School District 901,Texas,82564,970089,85664,231489,652936,745978,482385,9035.14849086769,1002912,12147.086,2008,Texas,83483,1067343,92541,244704,730098,783814,506341,9388.9055,1111466,13313.681,2009, Texas ,84676,1057469,150853,150544,756072,804256,526749,9498.039,1077555,12725.625,2010, Texas ,85697,1096563,155833,183304,757426,808287,528071,9431.917,1059959,12368.683,2011
26,Lee County School District,Florida,80541,980391,67054,220143,693194,701153,440066,8705.54127711352,945972,11745.223,2008,Florida,79434,858184,71100,160653,626431,717883,466146,9037.4777,896303,11283.619,2009, Florida ,80484,821989,116122,162118,543749,707452,457428,8789.97,836303,10390.922,2010, Florida ,81967,827211,142228,193442,491541,736718,479548,8987.982,824431,10058.084,2011
27,Fort Worth Independent School District 905,Texas,78857,725234,96921,316310,312003,679641,434468,8618.651483064281,741991,9409.3232,2008,Texas,79285,769865,111504,306878,351483,704907,456713,8890.799,832799,10503.866,2009, Texas ,80209,836980,186710,288309,361961,693075,454218,8640.863,905562,11290.03,2010, Texas ,81651,835866,181849,301792,352225,743459,485333,9105.326,1029691,12610.88,2011
28,Fresno Unified School District,California,76460,838633,123361,590206,125066,768663,529797,10053.138896154853,866597,11333.992,2008,California,76621,835948,144700,587359,103889,721401,490196,9415.1864,788286,10288.119,2009, California ,75468,742921,140326,493215,109380,711048,479652,9421.847,778618,10317.194,2010, California ,74833,768552,139750,522298,106504,693180,467705,9263.025,769720,10285.836,2011
29,Granite School District,Utah,75982,505372,58887,289476,157009,412839,287441,5433.378958174304,483481,6363.0992,2008,Utah,70166,494431,56596,280815,157020,431054,300573,6143.3458,507917,7238.7909,2009, Utah ,68807,495657,77873,264637,153147,418979,291369,6089.191,503587,7318.8338,2010, Utah ,70083,474236,68178,243842,162216,421152,295161,6009.331,536028,7648.474,2011
30,Brevard County School District,Florida,74369,747371,51979,330491,364901,627018,436342,8431.17427960575,885106,11901.545,2008,Florida,73098,675705,53392,270531,351782,602371,420790,8240.5948,797394,10908.561,2009, Florida ,72412,666690,95693,252241,318756,578816,399955,7993.371,666072,9198.3649,2010, Florida ,71866,665068,108726,283017,273325,586688,407927,8163.637,640838,8917.1235,2011
