,State,Name of reporting district,ALL_MTH00numvalid,ALL_MTH00pctprof,Year,ALL_RLA00numvalid,ALL_RLA00pctprof
0,alaska,lower kuskokwim school district,2291,37,2008,2283,43
1,alaska,lower yukon school district,1158,33,2008,1168,36
2,alaska,yupiit school district,229,20,2008,228,23
3,alaska,kashunamiut school district,176,45-49,2008,176,35-39
4,alaska,mount edgecumbe high school,175,60-64,2008,175,80-84
5,alaska,aleutians east borough school district,151,65-69,2008,152,75-79
6,alaska,aleutian region school district,18,21-39,2008,18,60-79
7,alaska,bering strait school district,880,44,2008,880,53
8,alaska,bristol bay borough school district,103,70-74,2008,103,85-89
9,alaska,alaska gateway school district,217,55,2008,215,71
10,alaska,cordova city school district,223,75,2008,223,84
11,alaska,copper river school district,288,81,2008,288,88
12,alaska,craig city school district,418,72,2008,433,88
13,alaska,delta/greely school district,564,71,2008,566,88
14,alaska,dillingham city school district,286,52,2008,286,66
15,alaska,galena city school district,2124,63,2008,2066,87
16,alaska,ketchikan gateway borough school district,1248,68,2008,1253,84
17,alaska,anchorage school district,28943,70,2008,28917,81
18,alaska,juneau borough school district,2903,71,2008,2901,83
19,alaska,sitka school district,799,71,2008,799,86
20,alaska,haines borough school district,185,75-79,2008,184,85-89
21,alaska,hoonah city school district,71,60-64,2008,71,75-79
22,alaska,hydaburg city school district,41,50-59,2008,41,60-69
23,alaska,kake city school district,50,70-79,2008,50,80-89
24,alaska,kenai peninsula borough school district,5495,77,2008,5500,89
25,alaska,klawock city school district,73,60-64,2008,73,70-74
26,alaska,kodiak island borough school district,1556,74,2008,1543,86
27,alaska,lake and peninsula borough school district,224,58,2008,223,67
28,alaska,matanuska-susitna borough school district,9872,75,2008,9886,87
29,alaska,iditarod area school district,169,50-54,2008,166,70-74
30,alaska,annette island school district,168,65-69,2008,168,80-84
31,alaska,nenana city school district,354,67,2008,356,84
32,alaska,nome public schools,393,58,2008,396,67
33,alaska,fairbanks north star borough school district,8322,74,2008,8319,84
34,alaska,north slope borough school district,877,52,2008,884,57
35,alaska,northwest arctic borough school district,1093,49,2008,1097,49
36,alaska,pelican city school district,8,,2008,8,
37,alaska,petersburg city school district,321,76,2008,323,89
38,alaska,pribilof school district,65,65-69,2008,65,75-79
39,alaska,saint mary's school district,107,55-59,2008,106,60-64
40,alaska,skagway city school district,48,,2008,48,
41,alaska,southeast island school district,103,75-79,2008,102,85-89
42,alaska,southwest region school district,405,37,2008,409,39
43,alaska,tanana city school district,22,60-79,2008,22,60-79
44,alaska,unalaska city school district,259,81,2008,259,86
45,alaska,chatham school district,83,55-59,2008,90,70-74
46,alaska,kuspuk school district,184,35-39,2008,185,40-44
47,alaska,denali borough school district,237,76,2008,236,89
48,alaska,yukon flats school district,140,30-34,2008,142,40-44
49,alaska,valdez city school district,406,78,2008,409,88
50,alaska,chugach school district,120,60-64,2008,121,80-84
51,alaska,wrangell public school district,193,85-89,2008,194,90-94
52,alaska,yakutat school district,77,65-69,2008,77,80-84
53,alaska,yukon/koyukuk school district,735,54,2008,744,73
54,arizona,cave creek unified school district,3271,86,2008,3269,89
55,arizona,chino valley unified school district,1439,72,2008,1445,75
56,arizona,clarkdale-jerome elementary school district,264,88,2008,264,85
57,arizona,salome consolidated elementary school district,79,50-54,2008,79,55-59
58,arizona,center for academic success  inc.,371,62,2008,368,63
59,arizona,pine forest education association  inc.,148,65-69,2008,148,80-84
60,arizona,flagstaff arts and leadership academy,38,70-79,2008,38,
61,arizona,montessori charter school of flagstaff  inc.,152,90-94,2008,152,
62,arizona,colorado city unified school district,214,79,2008,213,80
63,arizona,vernon elementary school district,69,70-74,2008,69,80-84
64,arizona,pinon unified school district,792,37,2008,788,40
65,arizona,heber-overgaard unified school district,282,76,2008,283,71
66,arizona,triumphant learning center,68,80-84,2008,68,85-89
67,arizona,ventana academic charter school,74,70-74,2008,74,75-79
68,arizona,mesa arts academy,142,85-89,2008,142,85-89
69,arizona,valley academy  inc.,441,96,2008,441,95
70,arizona,foothills academy,157,,2008,157,
71,arizona,twenty first century charter school  inc. dba: bennett acade,78,80-84,2008,78,70-74
72,arizona,casy country day school,29,,2008,29,
73,arizona,edu-prize  inc.,652,93,2008,652,95
74,arizona,gateway early college high school - maricopa county communit,63,80-84,2008,61,65-69
75,arizona,new school for the arts,47,80-89,2008,49,
76,arizona,carden traditional school of glendale  inc.,83,75-79,2008,83,85-89
77,arizona,salt river pima-maricopa  community schools,136,35-39,2008,138,40-44
78,arizona,kachina country day school,96,70-74,2008,96,80-84
79,arizona,espiritu community development corp.,393,51,2008,396,49
80,arizona,heritage academy  inc.,234,95,2008,234,95
81,arizona,villa montessori charter school,296,90,2008,296,92
82,arizona,edupreneurship  inc.,47,50-59,2008,47,60-69
83,arizona,arizona school for the arts,246,97,2008,246,98
84,arizona,arizona call-a-teen youth resources  inc.,24,,2008,24,21-39
85,arizona,scottsdale horizons charter school,45,40-49,2008,45,60-69
86,arizona,intelli-school  inc.,24,21-39,2008,31,50-59
87,arizona,tertulia: a learning community,63,55-59,2008,63,55-59
88,arizona,lake havasu charter school  inc.,46,40-49,2008,46,50-59
89,arizona,benjamin franklin charter school,1191,89,2008,1191,89
90,arizona,victory high school  inc.,8,,2008,9,
91,arizona,montessori day public schools chartered  inc.,97,60-64,2008,97,65-69
92,arizona,khalsa montessori elementary schools,64,,2008,64,
93,arizona,tempe preparatory academy,187,,2008,186,
94,arizona,bright beginnings school  inc.,231,,2008,231,
95,arizona,montessori education centre charter school,205,69,2008,206,78
96,arizona,kingman academy of learning,825,79,2008,830,79
97,arizona,young scholars academy charter school corp.,262,87,2008,262,84
98,arizona,northern arizona academy for career development  inc.,25,,2008,22,21-39
99,arizona,edge school  inc. the,41,50-59,2008,37,70-79
100,arizona,tucson youth development/ace charter high school,31,40-49,2008,30,40-59
101,arizona,presidio school,132,85-89,2008,134,90-94
102,arizona,colorado river union high school school district,565,56,2008,565,76
103,arizona,ppep & affiliates,213,22,2008,213,39
104,arizona,tucson urban league  inc.,15,,2008,18,21-39
105,arizona,sedona charter school  inc.,105,80-84,2008,105,85-89
106,arizona,mingus springs charter school,122,65-69,2008,122,75-79
107,arizona,franklin phonetic primary school  inc.,241,89,2008,241,88
108,arizona,skyview school  inc.,66,70-74,2008,65,80-84
109,arizona,az-tec high school,20,21-39,2008,20,40-59
110,arizona,yuma private industry council  inc.,4,,2008,4,
111,arizona,mountain school  inc.,110,90-94,2008,110,
112,arizona,northland preparatory academy,207,89,2008,207,90
113,arizona,flagstaff junior academy,160,75-79,2008,160,80-84
114,arizona,liberty high school,15,,2008,16,60-79
115,arizona,ball charter schools (hearn),316,79,2008,339,86
116,arizona,omega schools d.b.a. omega academy  inc.,245,43,2008,242,42
117,arizona,friendly house  inc.,168,60-64,2008,168,50-54
118,arizona,ombudsman educational services  ltd. a subsidiary of educati,160,25-29,2008,167,40-44
119,arizona,global renaissance academy of distinguished education,38,50-59,2008,38,60-69
120,arizona,dcs partner  inc. dba destiny community school.,62,65-69,2008,62,75-79
121,arizona,arizona agribusiness & equine center  inc.,61,80-84,2008,61,90-94
122,arizona,international commerce secondary schools  inc.,48,30-39,2008,43,50-59
123,arizona,humanities and sciences academy of the united states  inc.,21,40-59,2008,15,
124,arizona,phoenix advantage charter school  inc.,343,44,2008,343,45
125,arizona,allen-cochran enterprises  inc.,200,85-89,2008,200,90-94
126,arizona,eagles aerie schools,120,60-64,2008,120,75-79
127,arizona,fountain hills charter school,82,75-79,2008,82,75-79
128,arizona,calli ollin academy,35,,2008,30,21-39
129,arizona,hermosa montessori charter school,131,90-94,2008,131,90-94
130,arizona,accelerated learning center  inc.,36,60-69,2008,38,70-79
131,arizona,acclaim charter school,266,58,2008,266,63
132,arizona,genesis academy,33,,2008,27,21-39
133,arizona,luz academy of tucson  inc,49,60-69,2008,50,70-79
134,arizona,montessori schoolhouse of tucson  inc.,27,,2008,27,
135,arizona,academy of excellence  inc.,92,45-49,2008,92,55-59
136,arizona,accelerated elementary and secondary schools,101,80-84,2008,101,85-89
137,arizona,american heritage academy,248,68,2008,248,81
138,arizona,ideabanc  inc.,368,69,2008,371,74
139,arizona,employ-ability unlimited  inc.,162,60-64,2008,162,60-64
140,arizona,basis school  inc.,447,,2008,447,98
141,arizona,challenge school  inc.,294,96,2008,294,97
142,arizona,chester newton charter and montessori school,30,21-39,2008,30,40-59
143,arizona,d.w. higgins institute,77,60-64,2008,76,65-69
144,arizona,discovery plus academy,45,40-49,2008,45,50-59
145,arizona,e.q. scholars  inc.,37,40-49,2008,38,50-59
146,arizona,florence crittenton services of arizona  inc.,41,,2008,39,30-39
147,arizona,gem charter school  inc.,24,40-59,2008,24,60-79
148,arizona,global education foundation,38,50-59,2008,38,60-69
149,arizona,ha:san educational services,28,21-39,2008,30,40-59
150,arizona,el dorado public charter high school,49,30-39,2008,30,40-59
151,arizona,mexicayotl academy  inc.,74,30-34,2008,74,30-34
152,arizona,new horizon school for the performing arts,69,65-69,2008,69,70-74
153,arizona,new west school,27,40-59,2008,27,40-59
154,arizona,phoenix school of academic excellence the,33,40-49,2008,34,50-59
