No.,State,Name of reporting district,Math test participants,Math performance,Year,Reading test participants,Reading perfomance,Total students ,Total revenues,Current expenditures  ,"Current 
expenditures
per pupil","Total
expenditures
per pupil"
0,Alaska,Anchorage school district,28943,70,2008,28917,81,48857,650738,611450,12515.095073377408,14192.746
1,Arizona,Mesa unified school district,36171,77,2008,36172,76,73044,635243,542481,7426.770165927386,8257.297
2,Arizona,Tucson unified school district,29411,62,2008,29468,66,59327,545561,471360,7945.117737286564,9650.8672
3,California,Capistrano unified school district,28531,69,2008,28541,72,52390,453589,417759,7974.021759877839,8574.8044
4,California,Elk grove unified school district,33311,58,2008,33368,57,62294,596705,532880,8554.274890037565,9532.0416
5,California,Fresno unified school district,39356,44,2008,39557,37,76460,838633,768663,10053.138896154853,11333.992
6,California,Long beach unified school district,46647,54,2008,46750,48,88186,914366,850615,9645.692059964167,10454.517
7,California,Los angeles unified school district,360812,44,2008,360316,39,693680,9551053,7878168,11357.063775804405,14767.769
8,California,Sacramento city unified school district,25425,53,2008,25478,47,48446,545693,486908,10050.530487553153,11559.138
9,California,San bernardino city unified school district,28875,38,2008,28976,34,56727,797791,553930,9764.838613006152,12080.103
10,California,San francisco unified school district,27588,59,2008,27683,55,55069,668282,534762,9710.762861137846,13507.454
11,California,San juan unified school district,24411,57,2008,24466,59,47400,480125,433280,9140.928270042194,10066.751
12,California,Santa ana unified school district,30415,47,2008,30512,38,57061,564867,544084,9535.129072396208,10419.586
13,Florida,Brevard county school district,43225,77,2008,43308,72,74369,747371,627018,8431.17427960575,11901.545
14,Florida,Broward county school district,154311,71,2008,154673,62,258893,2874695,2339595,9036.918727041673,11568.776
15,Florida,Duval county school district,71513,62,2008,71721,58,124740,1238175,1079389,8653.110469777137,10034.424
16,Florida,Hillsborough county school district,115473,66,2008,115578,59,193180,2068665,1613384,8351.713427891085,10936.054
17,Florida,Lee county school district,46088,66,2008,46167,63,80541,980391,701153,8705.54127711352,11745.223
18,Florida,Osceola county school district,31184,58,2008,31228,54,52742,628244,450830,8547.83663873194,10426.984
19,Florida,Palm beach county school district,102749,70,2008,102957,62,170883,2183132,1605194,9393.526564959651,13605.051
20,Florida,Pinellas county school district,62622,66,2008,62761,61,107892,1211026,966587,8958.838468097727,10433.016
21,Florida,Polk county school district,55573,60,2008,55669,55,93980,1250657,1017453,10826.271547137689,12750.766
22,Florida,Seminole county school district,39911,77,2008,39954,71,65378,633500,529379,8097.20395239989,9587.1241
23,Florida,Volusia county school district,38193,64,2008,38264,62,64488,713726,564674,8756.2647314229,11605.415
24,Georgia,Atlanta public schools,24028,73,2008,24067,88,49991,869896,675668,13515.792842711688,15459.943
25,Georgia,Clayton county school district,25509,71,2008,25563,85,52717,567961,485152,9202.95160953772,10298.462
26,Georgia,Cobb county school district,55700,85,2008,55640,93,107307,1157791,1011702,9428.108138332076,10722.18
27,Georgia,Dekalb county school district,49802,71,2008,49649,87,100273,1245461,1059607,10567.221485345008,11640.272
28,Georgia,Fulton county school district,45229,83,2008,45183,93,86225,1068153,886651,10282.992171643955,12823.752
29,Georgia,Gwinnett county school district,81354,87,2008,81376,93,155618,1764516,1489304,9570.255368916192,12139.046
